fre;Français
alb;Albanais
ger;Allemand
eng;Anglais
ara;Arabe
arm;Arménien
baq;Basque
ben;Bengali
bos;Bosniaque
bre;Breton
pob;Brésilien
bul;Bulgare
cat;Catalan
chi;Chinois
kor;Coréen
hrv;Croate
dan;Danois
spa;Espagnol
epo;Esperanto
est;Estonien
fin;Finlandais
fre;Français
glg;Galician
geo;Georgian
ell;Grec
heb;Hebreu
hin;Hindi
hun;Hongrois
ice;Icelandic
ind;Indonésien
ita;Italien
jpn;Japonais
kaz;Kazakh
khm;Khmer
lav;Letton
lit;Lituanien
ltz;Luxembourgeois
mac;Macédonien
may;Malay
mal;Malayalam
mon;Mongolian
nor;Norvégien
dut;Néerlandais
oci;Occitan
per;Perse
pol;Polonais
por;Portugais
rum;Roumain
rus;Russe
scc;Serbe
sin;Sinhalese
slo;Slovaque
slv;Slovène
swe;Suédois
swa;Swahili
syr;Syriac
tgl;Tagalog
cze;Tchèque
tel;Telugu
tha;Thai
tur;Turc
ukr;Ukrainien
urd;Urdu
vie;Vietnamien
